senate_num,senate_term,house_num,house_term,state_abbr
35,4,105.0,4.0,AL
20,4,40.0,2.0,AK
30,2,60.0,2.0,AZ
35,4,100.0,2.0,AR
40,4,80.0,2.0,CA
35,4,65.0,2.0,CO
36,2,151.0,2.0,CT
21,4,41.0,2.0,DE
40,4,120.0,2.0,FL
56,2,180.0,2.0,GA
25,4,51.0,2.0,HI
35,2,70.0,2.0,ID
59,4,118.0,2.0,IL
50,4,100.0,2.0,IN
50,4,100.0,2.0,IA
40,4,125.0,2.0,KS
38,4,100.0,2.0,KY
39,4,105.0,4.0,LA
35,2,151.0,2.0,ME
47,4,141.0,4.0,MD
40,2,160.0,2.0,MA
38,4,110.0,2.0,MI
67,4,134.0,2.0,MN
52,4,122.0,4.0,MS
34,4,163.0,2.0,MO
50,4,100.0,2.0,MT
49,4,,,NE
21,4,42.0,2.0,NV
24,2,400.0,2.0,NH
40,4,80.0,2.0,NJ
42,4,70.0,2.0,NM
63,2,150.0,2.0,NY
50,2,120.0,2.0,NC
47,4,94.0,4.0,ND
33,4,99.0,2.0,OH
48,4,101.0,2.0,OK
30,4,60.0,2.0,OR
50,4,203.0,2.0,PA
38,2,75.0,2.0,RI
46,4,124.0,2.0,SC
35,2,70.0,2.0,SD
33,4,99.0,2.0,TN
31,4,150.0,2.0,TX
29,4,75.0,2.0,UT
30,2,150.0,2.0,VT
40,4,100.0,2.0,VA
49,4,98.0,2.0,WA
34,4,100.0,2.0,WV
33,4,99.0,2.0,WI
30,4,60.0,2.0,WY
