fips,state_abbr,state_name,pop_2018,electoral_votes_2016
01,AL,Alabama, 4887871, 9
02,AK,Alaska, 737438, 3
04,AZ,Arizona, 7171646, 11
05,AR,Arkansas, 3013825, 6
06,CA,California, 39557045, 55
08,CO,Colorado, 5695564, 9
09,CT,Connecticut, 3572665, 7
10,DE,Delaware, 967171, 3
11,DC,District of Columbia, 702455, 3
12,FL,Florida, 21299325, 29
13,GA,Georgia, 10519475, 16
15,HI,Hawaii, 1420491, 4
16,ID,Idaho, 1754208, 4
17,IL,Illinois, 12741080, 20
18,IN,Indiana, 6691878, 11
19,IA,Iowa, 3156145, 6
20,KS,Kansas, 2911505, 6
21,KY,Kentucky, 4468402, 8
22,LA,Louisiana, 4659978, 8
23,ME,Maine, 1338404, 4
24,MD,Maryland, 6042718, 10
25,MA,Massachusetts, 6902149, 11
26,MI,Michigan, 9995915, 16
27,MN,Minnesota, 5611179, 10
28,MS,Mississippi, 2986530, 6
29,MO,Missouri, 6126452, 10
30,MT,Montana, 1062305, 3
31,NE,Nebraska, 1929268, 5
32,NV,Nevada, 3034392, 6
33,NH,New Hampshire, 1356458, 4
34,NJ,New Jersey, 8908520, 14
35,NM,New Mexico, 2095428, 5
36,NY,New York, 19542209, 29
37,NC,North Carolina, 10383620, 15
38,ND,North Dakota, 760077, 3
39,OH,Ohio, 11689442, 18
40,OK,Oklahoma, 3943079, 7
41,OR,Oregon, 4190713, 7
42,PA,Pennsylvania, 12807060, 20
44,RI,Rhode Island, 1057315, 4
45,SC,South Carolina, 5084127, 9
46,SD,South Dakota, 882235, 3
47,TN,Tennessee, 6770010, 11
48,TX,Texas, 28701845, 38
49,UT,Utah, 3161105, 6
50,VT,Vermont, 626299, 3
51,VA,Virginia, 8517685, 13
53,WA,Washington, 7535591, 12
54,WV,West Virginia, 1805832, 5
55,WI,Wisconsin, 5813568, 10
56,WY,Wyoming, 577737, 3
