GEOID,STATE,NAME,RATING,FLIP,GOPSUPER,GOPMAJ,TIE,DEMMAJ,DEMSUPER,NWNetFlip
01,AL,Alabama,No Election,,0.000000,0.000000,0.000000,0.000000,0.000000,-3
02,AK,Alaska,Tilt R,D TO R,0.005000,0.541000,0.123000,0.332000,0.000000,-3
04,AZ,Arizona,Lean D,R TO D,0.000000,0.000000,0.000000,0.000000,0.000000,-3
05,AR,Arkansas,Safe R,,0.489000,0.511000,0.000000,0.000000,0.000000,-3
06,CA,California,Safe D,,0.000000,0.000000,0.000000,0.000000,1.000000,-3
08,CO,Colorado,Safe D,,0.000000,0.000000,0.000000,0.962000,0.038000,-3
09,CT,Connecticut,Safe D,,0.000000,0.033000,0.000000,0.967000,0.000000,-3
10,DE,Delaware,Safe D,,0.000000,0.000000,0.000000,0.000000,1.000000,-3
11,DC,District of Columbia,No Election,,0.000000,0.000000,0.000000,0.000000,0.000000,-3
12,FL,Florida,Likely R,,0.002000,0.818000,0.046000,0.134000,0.000000,-3
13,GA,Georgia,Safe R,,0.000000,0.922000,0.043000,0.035000,0.000000,-3
15,HI,Hawaii,Safe D,,0.000000,0.000000,0.000000,0.000000,1.000000,-3
16,ID,Idaho,Safe R,,1.000000,0.000000,0.000000,0.000000,0.000000,-3
17,IL,Illinois,Safe D,,0.000000,0.000000,0.000000,0.020000,0.980000,-3
18,IN,Indiana,Safe R,,1.000000,0.000000,0.000000,0.000000,0.000000,-3
19,IA,Iowa,Tilt D,R TO D,0.000000,0.375000,0.058000,0.567000,0.000000,-3
20,KS,Kansas,Safe R,,0.367000,0.633000,0.000000,0.000000,0.000000,-3
21,KY,Kentucky,Safe R,,0.863000,0.137000,0.000000,0.000000,0.000000,-3
22,LA,Louisiana,No Election,,0.000000,0.000000,0.000000,0.000000,0.000000,-3
23,ME,Maine,Safe D,,0.000000,0.042000,0.000000,0.690000,0.268000,-3
24,MD,Maryland,No Election,,0.000000,0.000000,0.000000,0.000000,0.000000,-3
25,MA,Massachusetts,Safe D,,0.000000,0.000000,0.000000,0.000000,1.000000,-3
26,MI,Michigan,Tilt D,R TO D,0.000000,0.381000,0.100000,0.519000,0.000000,-3
27,MN,Minnesota,Likely D,,0.000000,0.069000,0.036000,0.895000,0.000000,-3
28,MS,Mississippi,No Election,,0.000000,0.000000,0.000000,0.000000,0.000000,-3
29,MO,Missouri,Safe R,,0.931000,0.069000,0.000000,0.000000,0.000000,-3
30,MT,Montana,Safe R,,0.002000,0.990000,0.006000,0.001000,0.000000,-3
31,NE,Nebraska,No Election,,0.000000,0.000000,0.000000,0.000000,0.000000,-3
32,NV,Nevada,Safe D,,0.000000,0.000000,0.000000,0.250000,0.750000,-3
33,NH,New Hampshire,Safe D,,0.000000,0.000000,0.000000,0.000000,0.000000,-3
34,NJ,New Jersey,No Election,,0.000000,0.000000,0.000000,0.000000,0.000000,-3
35,NM,New Mexico,Safe D,,0.000000,0.000000,0.000000,0.387000,0.613000,-3
36,NY,New York,Safe D,,0.000000,0.000000,0.000000,0.000000,1.000000,-3
37,NC,North Carolina,Tilt R,,0.012000,0.534000,0.056000,0.398000,0.000000,-3
38,ND,North Dakota,Safe R,,0.000000,0.000000,0.000000,0.000000,0.000000,-3
39,OH,Ohio,Safe R,,0.650000,0.350000,0.000000,0.000000,0.000000,-3
40,OK,Oklahoma,Safe R,,1.000000,0.000000,0.000000,0.000000,0.000000,-3
41,OR,Oregon,Safe D,,0.000000,0.001000,0.009000,0.374000,0.616000,-3
42,PA,Pennsylvania,Tilt R,,0.000000,0.564000,0.000000,0.436000,0.000000,-3
44,RI,Rhode Island,Safe D,,0.000000,0.000000,0.000000,0.000000,1.000000,-3
45,SC,South Carolina,Safe R,,0.125000,0.875000,0.000000,0.000000,0.000000,-3
46,SD,South Dakota,Safe R,,0.000000,0.000000,0.000000,0.000000,0.000000,-3
47,TN,Tennessee,Safe R,,1.000000,0.000000,0.000000,0.000000,0.000000,-3
48,TX,Texas,Tilt D,R TO D,0.000000,0.444000,0.056000,0.500000,0.000000,-3
49,UT,Utah,Safe R,,0.985000,0.015000,0.000000,0.000000,0.000000,-3
50,VT,Vermont,Safe D,,0.000000,0.000000,0.000000,0.000000,0.000000,-3
51,VA,Virginia,No Election,,0.000000,0.000000,0.000000,0.000000,0.000000,-3
53,WA,Washington,Safe D,,0.000000,0.000000,0.000000,0.969000,0.031000,-3
54,WV,West Virginia,Safe R,,0.000000,0.000000,0.000000,0.000000,0.000000,-3
55,WI,Wisconsin,Safe R,,0.000000,1.000000,0.000000,0.000000,0.000000,-3
56,WY,Wyoming,Safe R,,1.000000,0.000000,0.000000,0.000000,0.000000,-3
