CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS
H2AK00200,"CONSTANT, CHRISTOPHER",C,1,DEM,164637.9,0,164037.51,0,0,600.39,614.85,0,0,0,0,140610.75,158023.05,AK,00,,,,,,1000,5000,09/30/2022,8300,0
H2AK01158,"PELTOLA, MARY",I,1,DEM,4222293.36,0,1956492.82,0,0,2265800.54,25,0,0,0,0,0,4007076.16,AK,00,,,,,,199663.36,5000,09/30/2022,47782.5,500
H2AK01240,"WOOL, ADAM L",O,1,DEM,16217.07,0,16217.07,0,0,0,1100,0,0,0,0,0,15117,AK,00,,,,,,0,0,07/15/2022,0,0
H2AK00218,"REVAK, JOSHUA CARL",O,2,REP,121841,0,121841,0,0,0,0,0,0,0,0,0,116666,AK,00,,,,,,5000,0,09/16/2022,14600,0
H2AK00226,"PALIN, SARAH",O,2,REP,1556120.28,112737.77,1361350.32,0,0,194769.96,0,0,0,0,0,45029.91,1368813.91,AK,00,,,,,,69905,0,09/30/2022,500,0
H2AK01059,"PURHAM, RANDY",C,2,REP,1548.51,0,5621.6,0,140,0,0,0,0,0,0,0,1548.51,AK,00,,,,,,0,0,07/27/2022,0,0
H2AK01083,"BEGICH, NICHOLAS III",C,2,REP,1502461.64,0,954995.78,0,0,547465.86,23719.93,650000,0,0,0,650000,793887.95,AK,00,,,,,,34853.74,0,09/30/2022,0,0
H2AK01133,"COGHILL, JOHN B JR.",O,2,REP,26425,0,26425,0,0,0,0,0,0,0,0,0,26425,AK,00,,,,,,0,0,08/13/2022,0,0
H2AK01174,"SWEENEY, TARA M",O,2,REP,331074.05,0,330566.72,0,0,507.33,0,0,0,0,0,10495.47,308314.72,AK,00,,,,,,21300,0,09/30/2022,0,0
H6AK00045,"YOUNG, DONALD E",I,2,REP,665754.58,170060.53,855656.44,0,249173.19,59271.33,0,0,0,0,0,0,203591.43,AK,00,,,,,,278500,0,09/30/2022,13802,110603.12
H2AK01075,"BRELSFORD, GREGG BOWYER MR.",C,3,IND,43826.69,0,39294.36,0,0,4532.33,341.93,27000,0,10000,0,16000,13610,AK,00,,,,,,0,100,09/30/2022,0,0
H2AK01166,"GROSS, ALAN",O,3,IND,882589.02,175216.9,874488,0,0,8101.02,0,0,0,0,0,0,691155.94,AK,00,,,,,,16000,0,09/30/2022,192487.5,0
H8AK00140,"GALVIN, ALYSE",C,3,IND,28303.62,1169.54,124897.32,0,96593.7,0,0,0,0,0,0,0,0,AK,00,,,,,,0,0,04/20/2022,0,0
H2AK01216,"BYE, CHRIS",O,3,LIB,7488.7,0,3855.32,0,290.67,3772.23,3439.01,0,0,0,0,0,3950.42,AK,00,,,,,,99.27,0,09/30/2022,0,0
H2AK01208,"METTLER, SHERRY",O,3,NNE,8350,0,8350,0,0,0,1800,5000,0,0,0,5000,1550,AK,00,,,,,,0,0,09/12/2022,0,0
H2AK01190,"LOWENFELS, JEFF",O,3,NON,153293.08,0,103812.08,0,-49481,0,0,100000,0,0,0,100000,53293.08,AK,00,,,,,,0,0,08/25/2022,0,0
H0AL01097,"AVERHART, JAMES",O,1,DEM,0,0,1000,0,1121.71,121.71,0,0,0,0,0,29245,0,AL,01,,,,,,0,0,09/30/2022,0,0
H0AL01055,"CARL, JERRY LEE, JR",I,2,REP,971308.44,233023.53,572855.01,0,111972.59,510426.02,0,0,0,28797.29,0,474738.58,335774.9,AL,01,,,,,,402000,0,09/30/2022,18600,0
H0AL01063,"LAMBERT, DOUGLAS WESTLEY III",O,2,REP,0,0,0,0,0,0,0,0,0,0,0,71611.13,0,AL,01,,,,,,0,0,03/31/2021,0,0
H0AL02202,"HARVEY-HALL, PHYLLIS",C,1,DEM,51390.32,0,49759.94,0,0,1630.38,0,6623,0,0,0,12289.91,42976.06,AL,02,,,,,,0,1791.26,09/30/2022,0,0
H2AL02166,"PATEL, VIMAL",C,1,DEM,61099.81,0,59812.13,0,0,1287.68,17265,12811,0,0,0,12811,31023.81,AL,02,,,,,,0,0,06/30/2022,0,0
H0AL02087,"ROBY, MARTHA",I,2,REP,2500,0,47712.24,0,45212.24,0,0,0,0,0,0,0,0,AL,02,,,,,,0,0,06/30/2021,0,0
H0AL02145,"COLEMAN, JEFF",O,2,REP,0,0,0,0,0,0,0,0,0,0,0,0,0,AL,02,,,,,,0,0,09/30/2021,0,0
H0AL02152,"KING, TROY",O,2,REP,0,0,3028.21,0,3028.21,0,0,0,0,0,0,0,0,AL,02,,,,,,0,0,09/30/2021,0,0
H2AL02182,"COLEMAN, JEFF",C,2,REP,362073.05,0,362073.05,0,0,0,62063.05,300000,0,0,0,0,0,AL,02,,,,,,0,0,06/30/2022,0,0
H8AL02171,"MOORE, FELIX BARRY",I,2,REP,810232.27,15862.17,339006.52,0,1439.05,472664.8,0,0,0,11500,0,0,482219.35,AL,02,,,,,,306389.25,0,09/30/2022,2500.62,0
H2AL02190,"SMITH, JONATHAN",C,3,LIB,12431.14,0,11139.71,0,0,349.12,0,0,0,0,0,0,10772.25,AL,02,,,,,,400,0,09/30/2022,0,0
H2AL03131,"VEASEY, KAREN LIN MRS",C,1,DEM,8547,0,6937.8,0,3700,5309.2,0,0,0,0,0,0,2992,AL,03,,,,,,0,5555,09/30/2022,0,0
H8AL03062,"WINFREY, ADIA",C,1,DEM,0,0,23,0,28.31,0,0,0,0,0,0,0,0,AL,03,,,,,,0,0,09/30/2022,0,0
H2AL03032,"ROGERS, MICHAEL",I,2,REP,1833781.94,18400,1413661.48,130015,502233.7,922354.16,0,0,0,0,0,0,919221.65,AL,03,,,,,,840840.44,13369.29,09/30/2022,5408,1000
H2AL03123,"JOINER, MICHAEL T",C,2,REP,500,0,538.99,0,0,-38.99,0,0,0,0,0,0,500,AL,03,,,,,,0,0,05/04/2022,0,0
H2AL03107,"BELL, DOUGLAS A.",C,3,IND,6140.83,0,6068.56,0,0,72.27,4510.96,0,0,0,0,0,1629.87,AL,03,,,,,,0,0,09/30/2022,0,0
H8AL04086,"NEIGHBORS, RICKY",C,1,DEM,19188.5,0,17042.96,0,1034.1,3179.64,0,0,0,0,0,1800,19188.5,AL,04,,,,,,0,0,09/30/2022,0,0
H6AL04098,"ADERHOLT, ROBERT B. REP.",I,2,REP,1388447.24,5263.5,650983.85,475,647004.39,1384467.78,0,0,0,0,0,0,760390.98,AL,04,,,,,,617788.5,0,09/30/2022,2308.14,1000
H2AL04105,"COCHRAN, JOHN",C,3,LIB,6669.28,0,5217.95,0,0,1451.33,100,0,0,0,0,0,6569.28,AL,04,,,,,,0,0,09/30/2022,0,0
H2AL05177,"WARNER-STANTON, KATHY L",O,1,DEM,85150,0,77080.71,0,-248.72,7820.57,0,80000,0,0,0,80000,5150,AL,05,,,,,,0,0,09/30/2022,0,0
H0AL05163,"BROOKS, MO",I,2,REP,3610369.83,0,4732229.28,0,1137501.18,15641.73,0,0,0,0,0,0,3389825.66,AL,05,,,,,,93500,0,09/30/2022,329546,5500
H0AL05205,"LEWIS, CHRIS",C,2,REP,100,0,373.3,0,1009.55,736.25,0,0,0,0,0,62051.49,100,AL,05,,,,,,0,0,03/31/2022,0,0
H2AL05102,"STRONG, DALE WHITNEY",C,2,REP,1797583.5,0,1678735.63,0,0,118847.87,0,240000,0,0,0,240000,1277583.5,AL,05,,,,,,280000,0,09/30/2022,19400,0
H2AL05110,"BLALOCK, KEVIN ANDREW",C,2,REP,51494.96,0,49212.24,0,0,2239.22,10237.14,0,0,0,0,0,40757.82,AL,05,,,,,,500,0,05/24/2022,0,0
H2AL05128,"WARDYNSKI, CASEY",O,2,REP,777338.34,0,777338.34,0,0,0,1600,153000,0,0,0,153000,595228.34,AL,05,,,,,,14500,0,08/02/2022,11905,0
H2AL05136,"WRIGHT, HARRISON GAGE WOODARD",O,2,REP,811,0,0,0,485.24,0,0,0,0,0,0,0,10,AL,05,,,,,,25,100,07/21/2022,0,0
H2AL05169,"ROBERTS, JOHN",O,2,REP,167173.32,0,167173.32,0,0,0,2468.94,45000,0,6933.64,0,0,119704.38,AL,05,,,,,,0,0,08/31/2022,27400,0
H2AL05219,"SANFORD, PAUL",O,2,REP,67308.97,0,53598.53,0,0,13819.44,208.75,11250,0,0,0,10000,55650.22,AL,05,,,,,,0,0,05/04/2022,0,0
H2AL05144,"THOMPSON, CHARLES",O,3,AL,35028.56,0,34895.13,0,0,133.43,0,24897.02,0,1804.86,0,23092.16,10131.54,AL,05,,,,,,0,0,06/30/2022,0,0
H4AL06098,"PALMER, GARY",I,2,REP,1180427.76,175769.1,1078238.76,0,370687.86,472876.86,0,0,0,0,0,0,659481.84,AL,06,,,,,,339800,100,09/30/2022,61900,0
H0AL07086,"SEWELL, TERRI A.",I,1,DEM,2113933.89,0,1200325.87,0,2243480.25,3157088.27,0,0,0,0,0,0,603500.14,AL,07,,,,,,1497247.82,0,09/30/2022,7322,0
H6AL07166,"WALTERS, EDDISON T",O,1,DEM,0,0,0,0,0,0,0,0,0,0,0,10164.85,0,AL,07,,,,,,0,0,03/31/2021,0,0
H2AL07173,"NICHOLS, BEATRICE JACKSON",C,2,REP,34724.7,0,34525.56,0,0,197.17,0,0,0,0,0,0,33724.7,AL,07,,,,,,0,1000,09/30/2022,.14,0
H0AR01109,"CAUSEY, CHAD",O,1,DEM,15000,0,15181.59,0,181.59,0,0,15000,0,0,0,0,0,AR,01,,,,,,0,0,06/30/2022,0,0
H2AR01113,"HODGES, MONTE",C,1,DEM,62243.81,0,54102.44,0,0,8584.53,0,25000,0,0,0,25000,37243.81,AR,01,,,,,,0,0,09/30/2022,0,0
H0AR01083,"CRAWFORD, ERIC ALAN RICK",I,2,REP,979292.34,0,543733.63,0,182708.24,618266.95,0,0,0,0,0,0,443867.34,AR,01,,,,,,533400,2000,09/30/2022,0,0
H0AR01125,"SMITH, PRINCELLA D",O,2,REP,0,0,0,0,4,4,0,0,0,0,0,0,0,AR,01,,,,,,0,0,09/30/2022,0,0
H2AR01105,"SMITH, BRANDT",C,2,REP,30450,0,30450,0,0,0,1000,0,0,0,0,0,28700,AR,01,,,,,,750,0,06/30/2022,0,0
H2AR01121,"SHACKELFORD, JODY",C,2,REP,24483.04,0,21377.52,0,0,3105.52,0,24333.04,0,0,0,24333.04,150,AR,01,,,,,,0,0,05/04/2022,0,0
H0AR02206,"ELLIOTT, JOYCE ANN SENATOR",C,1,DEM,122114.7,0,129574.4,0,3729.85,0,0,0,0,0,0,0,0,AR,02,,,,,,0,0,03/31/2021,138,0
H2AR02087,"CARTWRIGHT, NICHOLAS",C,1,DEM,20244,0,19989,0,0,255,0,0,0,0,0,0,20244,AR,02,,,,,,0,0,03/21/2022,0,0
H8AR02142,"COMBS, GWENDOLYNN MILLEN MRS.",C,1,DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,AR,02,,,,,,0,0,02/01/2021,0,0
H2AR02103,"REYNOLDS, CONRAD E",C,2,REP,127567.04,0,150194.2,0,0,2679.73,0,12335.56,0,0,0,21442.67,114015.98,AR,02,,,,,,0,0,09/30/2022,8700,0
H2AR02111,"POSTON, DAVID P",C,2,REP,1209.86,0,1309.86,0,100,0,0,500,0,0,0,500,565,AR,02,,,,,,0,0,04/21/2022,0,0
H4AR02141,"HILL, JAMES FRENCH",I,2,REP,3049306.98,387033.69,2295812.61,75142.66,410779.36,1164573.73,0,0,0,0,0,0,1407287.39,AR,02,,,,,,1112350,0,09/30/2022,9500,0
H0AR03030,"WHITAKER, DAVID JEFFREY",O,1,DEM,0,0,0,0,3367.43,3367.43,0,0,0,0,0,18457.09,0,AR,03,,,,,,0,0,09/30/2022,0,0
