request,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,General_Office:token,General_Office:id,General_Office,#_of_Records,Total_$
dt=1&y=2022&s=IL&y=2022&c-r-ot=G,s,IL,IL,y,2022,2022,c-r-ot,G,Gubernatorial,11244,239890833.04
dt=1&y=2022&s=FL&y=2022&c-r-ot=G,s,FL,FL,y,2022,2022,c-r-ot,G,Gubernatorial,655478,226189512.6
dt=1&y=2022&s=TX&y=2022&c-r-ot=G,s,TX,TX,y,2022,2022,c-r-ot,G,Gubernatorial,1217266,207702242.9
dt=1&y=2022&s=PA&y=2022&c-r-ot=G,s,PA,PA,y,2022,2022,c-r-ot,G,Gubernatorial,130726,98799675.36
dt=1&y=2022&s=CA&y=2022&c-r-ot=H,s,CA,CA,y,2022,2022,c-r-ot,H,State House/Assembly,71431,95107295.68
dt=1&y=2022&s=NY&y=2022&c-r-ot=G,s,NY,NY,y,2022,2022,c-r-ot,G,Gubernatorial,44558,82322696.93
dt=1&y=2022&s=IL&y=2022&c-r-ot=H,s,IL,IL,y,2022,2022,c-r-ot,H,State House/Assembly,32716,76783570.98
dt=1&y=2022&s=IL&y=2022&c-r-ot=S,s,IL,IL,y,2022,2022,c-r-ot,S,State Senate,26722,72751465.15
dt=1&y=2022&s=TX&y=2022&c-r-ot=H,s,TX,TX,y,2022,2022,c-r-ot,H,State House/Assembly,103686,72220346.58
dt=1&y=2022&s=GA&y=2022&c-r-ot=G,s,GA,GA,y,2022,2022,c-r-ot,G,Gubernatorial,444680,57826783.51
dt=1&y=2022&s=WI&y=2022&c-r-ot=G,s,WI,WI,y,2022,2022,c-r-ot,G,Gubernatorial,241873,56765824.78
dt=1&y=2022&s=MI&y=2022&c-r-ot=G,s,MI,MI,y,2022,2022,c-r-ot,G,Gubernatorial,370232,56615238.36
dt=1&y=2022&s=TX&y=2022&c-r-ot=O,s,TX,TX,y,2022,2022,c-r-ot,O,Other Statewide,48210,48822323.97
dt=1&y=2022&s=CA&y=2022&c-r-ot=O,s,CA,CA,y,2022,2022,c-r-ot,O,Other Statewide,25462,44102831.5
dt=1&y=2022&s=CA&y=2022&c-r-ot=S,s,CA,CA,y,2022,2022,c-r-ot,S,State Senate,26691,38495008.06
dt=1&y=2022&s=OR&y=2022&c-r-ot=G,s,OR,OR,y,2022,2022,c-r-ot,G,Gubernatorial,16853,38409595.14
dt=1&y=2022&s=AZ&y=2022&c-r-ot=G,s,AZ,AZ,y,2022,2022,c-r-ot,G,Gubernatorial,145173,35518017.21
dt=1&y=2022&s=FL&y=2022&c-r-ot=H,s,FL,FL,y,2022,2022,c-r-ot,H,State House/Assembly,79468,34427938.47
dt=1&y=2022&s=TX&y=2022&c-r-ot=S,s,TX,TX,y,2022,2022,c-r-ot,S,State Senate,29361,34279728.64
dt=1&y=2022&s=MD&y=2022&c-r-ot=G,s,MD,MD,y,2022,2022,c-r-ot,G,Gubernatorial,67464,32898778.09
dt=1&y=2022&s=OH&y=2022&c-r-ot=G,s,OH,OH,y,2022,2022,c-r-ot,G,Gubernatorial,73793,31846925.9
dt=1&y=2022&s=CA&y=2022&c-r-ot=G,s,CA,CA,y,2022,2022,c-r-ot,G,Gubernatorial,34635,30220852.53
dt=1&y=2022&s=NV&y=2022&c-r-ot=G,s,NV,NV,y,2022,2022,c-r-ot,G,Gubernatorial,16454,28897867.58
dt=1&y=2022&s=AR&y=2022&c-r-ot=G,s,AR,AR,y,2022,2022,c-r-ot,G,Gubernatorial,150338,27016565.85
dt=1&y=2022&s=PA&y=2022&c-r-ot=H,s,PA,PA,y,2022,2022,c-r-ot,H,State House/Assembly,40453,26355879.23
dt=1&y=2022&s=NY&y=2022&c-r-ot=S,s,NY,NY,y,2022,2022,c-r-ot,S,State Senate,57957,24597839.35
dt=1&y=2022&s=NM&y=2022&c-r-ot=G,s,NM,NM,y,2022,2022,c-r-ot,G,Gubernatorial,73839,23916439.6
dt=1&y=2022&s=AL&y=2022&c-r-ot=G,s,AL,AL,y,2022,2022,c-r-ot,G,Gubernatorial,4677,23727519.91
dt=1&y=2022&s=IL&y=2022&c-r-ot=O,s,IL,IL,y,2022,2022,c-r-ot,O,Other Statewide,7823,22880657.88
dt=1&y=2022&s=NY&y=2022&c-r-ot=H,s,NY,NY,y,2022,2022,c-r-ot,H,State House/Assembly,67061,20163753.68
dt=1&y=2022&s=MD&y=2022&c-r-ot=H,s,MD,MD,y,2022,2022,c-r-ot,H,State House/Assembly,73370,19247835.24
dt=1&y=2022&s=MA&y=2022&c-r-ot=O,s,MA,MA,y,2022,2022,c-r-ot,O,Other Statewide,38442,18874678.96
dt=1&y=2022&s=CT&y=2022&c-r-ot=G,s,CT,CT,y,2022,2022,c-r-ot,G,Gubernatorial,5342,18176697.03
dt=1&y=2022&s=AL&y=2022&c-r-ot=H,s,AL,AL,y,2022,2022,c-r-ot,H,State House/Assembly,20521,16558370.53
dt=1&y=2022&s=MD&y=2022&c-r-ot=S,s,MD,MD,y,2022,2022,c-r-ot,S,State Senate,44213,15712895.68
dt=1&y=2022&s=CO&y=2022&c-r-ot=G,s,CO,CO,y,2022,2022,c-r-ot,G,Gubernatorial,36251,15475756.89
dt=1&y=2022&s=WA&y=2022&c-r-ot=H,s,WA,WA,y,2022,2022,c-r-ot,H,State House/Assembly,46457,15095777.02
dt=1&y=2022&s=RI&y=2022&c-r-ot=G,s,RI,RI,y,2022,2022,c-r-ot,G,Gubernatorial,26845,14887450.01
dt=1&y=2022&s=AL&y=2022&c-r-ot=S,s,AL,AL,y,2022,2022,c-r-ot,S,State Senate,8986,14874359.63
dt=1&y=2022&s=OH&y=2022&c-r-ot=H,s,OH,OH,y,2022,2022,c-r-ot,H,State House/Assembly,38321,14862684.94
dt=1&y=2022&s=MA&y=2022&c-r-ot=G,s,MA,MA,y,2022,2022,c-r-ot,G,Gubernatorial,53432,14692884.09
dt=1&y=2022&s=FL&y=2022&c-r-ot=S,s,FL,FL,y,2022,2022,c-r-ot,S,State Senate,25064,14449616.8
dt=1&y=2022&s=PA&y=2022&c-r-ot=S,s,PA,PA,y,2022,2022,c-r-ot,S,State Senate,17442,14449330.17
