state	chamber	forecastyear	forecastmonth	forecastday	source	electionyear	jacobsonforecast	jacobsonforecastnumeric	note
"Alabama"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe D"	"7"	""
"Alabama"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe D"	"7"	""
"Alaska"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe R"	"1"	""
"Alaska"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe R"	"1"	""
"Arizona"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Lean R"	"3"	""
"Arizona"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Likely R"	"2"	""
"Arkansas"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe D"	"7"	""
"Arkansas"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe D"	"7"	""
"California"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe D"	"7"	""
"California"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe D"	"7"	""
"Colorado"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Toss-up"	"4"	""
"Colorado"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Likely R"	"2"	""
"Connecticut"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Likely D"	"6"	""
"Connecticut"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe D"	"7"	""
"Delaware"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Likely D"	"6"	""
"Delaware"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Likely R"	"2"	""
"Florida"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe R"	"1"	""
"Florida"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe R"	"1"	""
"Georgia"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Likely D"	"6"	""
"Georgia"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe D"	"7"	""
"Hawaii"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe D"	"7"	""
"Hawaii"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Likely D"	"6"	""
"Idaho"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe R"	"1"	""
"Idaho"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe R"	"1"	""
"Illinois"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Lean D"	"5"	""
"Illinois"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Likely D"	"6"	""
"Indiana"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Safe R"	"1"	""
"Indiana"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Toss-up"	"4"	""
"Iowa"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Lean R"	"3"	""
"Iowa"	"house"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2002.0	"Lean R"	"3"	""
"Kansas"	"senate"	2002.0	10.0	4.0	"hard copies sent from Louis Jacobson on October 3, 2018"	2004.0	"Safe R"	"1"	""
