state,office,forecast
Alabama,house,Safe R
Alaska,house,Lean R
Arizona,house,Likely R
Arkansas,house,Safe R
California,house,Safe D
Colorado,house,Likely D
Connecticut,house,Likely D
Delaware,house,Safe D
Florida,house,Safe R
Georgia,house,Likely R
Hawaii,house,Safe D
Idaho,house,Safe R
Illinois,house,Likely D
Indiana,house,Safe R
Iowa,house,Likely R
Kansas,house,Safe R
Kentucky,house,Safe R
Louisiana,house,No races in 2022
Maine,house,Toss-up
Maryland,house,Safe D
Massachusetts,house,Safe D
Michigan,house,Lean R
Minnesota,house,Toss-up
Mississippi,house,No races in 2022
Missouri,house,Safe R
Montana,house,Safe R
Nevada,house,Likely D
New Hampshire,house,Likely R
New Jersey,house,No races in 2022
New Mexico,house,Likely D
New York,house,Safe D
North Carolina,house,Likely R
North Dakota,house,Safe R
Ohio,house,Safe R
Oklahoma,house,Safe R
Oregon,house,Likely D
Pennsylvania,house,Likely R
Rhode Island,house,Safe D
South Carolina,house,Safe R
South Dakota,house,Safe R
Tennessee,house,Safe R
Texas,house,Safe R
Utah,house,Safe R
Vermont,house,Safe D
Virginia,house,No races in 2022
Washington,house,Safe D
West Virginia,house,Safe R
Wisconsin,house,Safe R
Wyoming,house,Safe R
Alabama,senate,Safe R
Alaska,senate,Likely R
Arizona,senate,Likely R
Arkansas,senate,Safe R
California,senate,Safe D
Colorado,senate,Leans D
Connecticut,senate,Likely D
Delaware,senate,Safe D
Florida,senate,Likely R
Georgia,senate,Likely R
Hawaii,senate,Safe D
Idaho,senate,Safe R
Illinois,senate,Likely D
Indiana,senate,Safe R
Iowa,senate,Likely R
Kansas,senate,No races in 2022
Kentucky,senate,Safe R
Louisiana,senate,No races in 2022
Maine,senate,Toss-up
Maryland,senate,Safe D
Massachusetts,senate,Safe D
Michigan,senate,Toss-up
Minnesota,senate,Lean R
Mississippi,senate,No races in 2022
Missouri,senate,Safe R
Montana,senate,Safe R
Nevada,senate,Lean D
New Hampshire,senate,Likely R
New Jersey,senate,No races in 2022
New Mexico,senate,No races in 2022
New York,senate,Likely D
North Carolina,senate,Likely R
North Dakota,senate,Safe R
Ohio,senate,Safe R
Oklahoma,senate,Safe R
Oregon,senate,Lean D
Pennsylvania,senate,Likely R
Rhode Island,senate,Safe D
South Carolina,senate,No races in 2022
South Dakota,senate,Safe R
Tennessee,senate,Safe R
Texas,senate,Safe R
Utah,senate,Safe R
Vermont,senate,Safe D
Virginia,senate,No races in 2022
Washington,senate,Safe D
West Virginia,senate,Safe R
Wisconsin,senate,Safe R
Wyoming,senate,Safe R
