year,state,population
2021,Alabama,5039877
2021,Alaska,732673
2021,Arizona,7276316
2021,Arkansas,3025891
2021,California,39237836
2021,Colorado,5812069
2021,Connecticut,3605597
2021,Delaware,1003384
2021,District of Columbia,670050
2021,Florida,21781128
2021,Georgia,10799566
2021,Hawaii,1441553
2021,Idaho,1900923
2021,Illinois,12671469
2021,Indiana,6805985
2021,Iowa,3193079
2021,Kansas,2934582
2021,Kentucky,4509394
2021,Louisiana,4624047
2021,Maine,1372247
2021,Maryland,6165129
2021,Massachusetts,6984723
2021,Michigan,10050811
2021,Minnesota,5707390
2021,Mississippi,2949965
2021,Missouri,6168187
2021,Montana,1104271
2021,Nebraska,1963692
2021,Nevada,3143991
2021,New Hampshire,1388992
2021,New Jersey,9267130
2021,New Mexico,2115877
2021,New York,19835913
2021,North Carolina,10551162
2021,North Dakota,774948
2021,Ohio,11780017
2021,Oklahoma,3986639
2021,Oregon,4246155
2021,Pennsylvania,12964056
2021,Rhode Island,1095610
2021,South Carolina,5190705
2021,South Dakota,895376
2021,Tennessee,6975218
2021,Texas,29527941
2021,Utah,3337975
2021,Vermont,645570
2021,Virginia,8642274
2021,Washington,7738692
2021,West Virginia,1782959
2021,Wisconsin,5895908
2021,Wyoming,578803
