state,party,rating
AL,Republican,not-up-this-cycle
AK,Republican,not-up-this-cycle
AZ,Republican,not-up-this-cycle
AR,Republican,not-up-this-cycle
CA,Democrat,not-up-this-cycle
CO,Democrat,not-up-this-cycle
CT,Democrat,not-up-this-cycle
DE,Democrat,currently-safe-democrat
FL,Republican,not-up-this-cycle
GA,Republican,not-up-this-cycle
HI,Democrat,not-up-this-cycle
ID,Republican,not-up-this-cycle
IL,Democrat,not-up-this-cycle
IN,Republican,currently-safe-republican
IA,Republican,not-up-this-cycle
KS,Democrat,not-up-this-cycle
KY,Democrat,not-up-this-cycle
LA,Democrat,not-up-this-cycle
ME,Democrat,not-up-this-cycle
MD,Republican,not-up-this-cycle
MA,Republican,not-up-this-cycle
MI,Democrat,not-up-this-cycle
MN,Democrat,not-up-this-cycle
MS,Republican,not-up-this-cycle
MO,Republican,republican-favored
MT,Democrat,pure-toss-up
NE,Republican,not-up-this-cycle
NV,Democrat,not-up-this-cycle
NH,Republican,lean-republican
NJ,Democrat,not-up-this-cycle
NM,Democrat,not-up-this-cycle
NY,Democrat,not-up-this-cycle
NC,Democrat,lean-democrat
ND,Republican,currently-safe-republican
OH,Republican,not-up-this-cycle
OK,Republican,not-up-this-cycle
OR,Democrat,not-up-this-cycle
PA,Democrat,not-up-this-cycle
RI,Democrat,not-up-this-cycle
SC,Republican,not-up-this-cycle
SD,Republican,not-up-this-cycle
TN,Republican,not-up-this-cycle
TX,Republican,not-up-this-cycle
UT,Republican,currently-safe-republican
VT,Republican,currently-safe-republican
VA,Democrat,not-up-this-cycle
WA,Democrat,currently-safe-democrat
WV,Republican,currently-safe-republican
WI,Democrat,not-up-this-cycle
WY,Republican,not-up-this-cycle
