state,district,party,rating
AL,1,Republican,currently-safe-republican
AL,2,Republican,currently-safe-republican
AL,3,Republican,currently-safe-republican
AL,4,Republican,currently-safe-republican
AL,5,Republican,currently-safe-republican
AL,6,Republican,currently-safe-republican
AL,7,Democrat,currently-safe-democrat
AK,1,Republican,republican-favored
AZ,1,Democrat,democrat-favored
AZ,2,Democrat,currently-safe-democrat
AZ,3,Democrat,currently-safe-democrat
AZ,4,Republican,currently-safe-republican
AZ,5,Republican,currently-safe-republican
AZ,6,Republican,pure-toss-up
AZ,7,Democrat,currently-safe-democrat
AZ,8,Republican,currently-safe-republican
AZ,9,Democrat,currently-safe-democrat
AR,1,Republican,currently-safe-republican
AR,2,Republican,pure-toss-up
AR,3,Republican,currently-safe-republican
AR,4,Republican,currently-safe-republican
CA,1,Republican,currently-safe-republican
CA,2,Democrat,currently-safe-democrat
CA,3,Democrat,currently-safe-democrat
CA,4,Republican,currently-safe-republican
CA,5,Democrat,currently-safe-democrat
CA,6,Democrat,currently-safe-democrat
CA,7,Democrat,currently-safe-democrat
CA,8,Republican,currently-safe-republican
CA,9,Democrat,currently-safe-democrat
CA,10,Democrat,currently-safe-democrat
CA,11,Democrat,currently-safe-democrat
CA,12,Democrat,currently-safe-democrat
CA,13,Democrat,currently-safe-democrat
CA,14,Democrat,currently-safe-democrat
CA,15,Democrat,currently-safe-democrat
CA,16,Democrat,currently-safe-democrat
CA,17,Democrat,currently-safe-democrat
CA,18,Democrat,currently-safe-democrat
CA,19,Democrat,currently-safe-democrat
CA,20,Democrat,currently-safe-democrat
CA,21,Democrat,pure-toss-up
CA,22,Republican,currently-safe-republican
CA,23,Republican,currently-safe-republican
CA,24,Democrat,currently-safe-democrat
CA,25,Republican,pure-toss-up
CA,26,Democrat,currently-safe-democrat
CA,27,Democrat,currently-safe-democrat
CA,28,Democrat,currently-safe-democrat
CA,29,Democrat,currently-safe-democrat
CA,30,Democrat,currently-safe-democrat
CA,31,Democrat,currently-safe-democrat
CA,32,Democrat,currently-safe-democrat
CA,33,Democrat,currently-safe-democrat
CA,34,Democrat,currently-safe-democrat
CA,35,Democrat,currently-safe-democrat
CA,36,Democrat,currently-safe-democrat
CA,37,Democrat,currently-safe-democrat
CA,38,Democrat,currently-safe-democrat
CA,39,Democrat,democrat-favored
CA,40,Democrat,currently-safe-democrat
CA,41,Democrat,currently-safe-democrat
CA,42,Republican,currently-safe-republican
CA,43,Democrat,currently-safe-democrat
CA,44,Democrat,currently-safe-democrat
CA,45,Democrat,currently-safe-democrat
CA,46,Democrat,currently-safe-democrat
CA,47,Democrat,currently-safe-democrat
CA,48,Democrat,lean-democrat
CA,49,Democrat,currently-safe-democrat
CA,50,Republican,republican-favored
CA,51,Democrat,currently-safe-democrat
CA,52,Democrat,currently-safe-democrat
CA,53,Democrat,currently-safe-democrat
CO,1,Democrat,currently-safe-democrat
CO,2,Democrat,currently-safe-democrat
CO,3,Republican,toss-up-tilt-republican
CO,4,Republican,currently-safe-republican
CO,5,Republican,currently-safe-republican
CO,6,Democrat,currently-safe-democrat
CO,7,Democrat,currently-safe-democrat
CT,1,Democrat,currently-safe-democrat
CT,2,Democrat,currently-safe-democrat
CT,3,Democrat,currently-safe-democrat
CT,4,Democrat,currently-safe-democrat
