state,office,district,mean_vote,q_025,q_975,potential_power,pr_close,pr_tip,realized_power
GA,ussenate,GA,0.49117295103730557,0.37951330870090544,0.6051101508648157,12.5,0.49661610501116144,0.08391330284350766,0.5209087202095599
NC,ussenate,NC,0.4906756859282137,0.37793291103319643,0.6027535185662019,12.5,0.49661610501116144,0.07337442831576854,0.4554865349699706
MI,ussenate,MI,0.5085989046001177,0.3965427472244384,0.6226562998899077,12.5,0.49661610501116144,0.0729767349373633,0.45301777326281634
IA,ussenate,IA,0.46524613425222505,0.35396317422248597,0.5774530128606021,12.5,0.49661610501116144,0.06780672101809505,0.4209238710698103
AZ,ussenate,AZ,0.5122186778584805,0.3985236999492737,0.626641750946759,12.5,0.49661610501116144,0.06561940743686617,0.4073456816804615
ME,ussenate,ME,0.4566053470333581,0.34136324590741174,0.5717472989338066,12.5,0.49661610501116144,0.05905746669317956,0.3666111135124154
MN,ussenate,MN,0.5283126902846357,0.4168944009834408,0.6429099788234559,12.5,0.49661610501116144,0.05885862000397694,0.36537673265883824
TX,ussenate,TX,0.45029795476707285,0.3360977807135216,0.567304839870016,12.5,0.49661610501116144,0.056074766355140186,0.348095400708758
NM,ussenate,NM,0.5317473032182466,0.41922239501842146,0.6479916662507592,12.5,0.49661610501116144,0.05508053290912706,0.3419234964408722
MT,ussenate,MT,0.44948547813192863,0.33746315299572305,0.561522046047059,12.5,0.49661610501116144,0.052694372638695565,0.32711092619794635
MI,president,,0.5144381494336268,0.4015638873870085,0.6265950228830377,25.0,0.14825317267979313,0.08462055070517126,0.31363162789882365
SC,ussenate,SC,0.4486918839719523,0.33618650056957483,0.5653103113686971,12.5,0.49661610501116144,0.05010936567906144,0.31106397510144335
MS,ussenate,MS,0.4423532314457546,0.3276473966254985,0.5569913739155251,12.5,0.49661610501116144,0.048518592165440445,0.30118892827282606
PA,president,,0.5059964845472498,0.38947385998108364,0.6192937418666391,25.0,0.14825317267979313,0.06984553391537945,0.25887055001172743
GA,president,,0.5020202948675373,0.3857860109089741,0.6164748733874015,25.0,0.14825317267979313,0.06783075889858965,0.2514031302998507
TX,statehouse,,0.4503213333333333,0.34,0.5666666666666667,1.0966038340478594,0.22880269100579645,1.0,0.2509059081974241
NC,governor,,0.5212641783284802,0.40736004441442103,0.6378002154629192,0.7934484701799508,0.3097566789713734,1.0,0.24577596305785834
KS,ussenate,KS,0.43686192179922617,0.3240134791649622,0.5501212626259482,12.5,0.49661610501116144,0.03817856432690396,0.237001123886814
CO,ussenate,CO,0.547708798884704,0.4329806984993697,0.6619819659736877,12.5,0.49661610501116144,0.037780870948498704,0.23453236217965964
WI,president,,0.5033298956885468,0.38847127299548034,0.6158583507003328,25.0,0.14825317267979313,0.0631296171927468,0.23397915097213823
AZ,president,,0.5020767247220808,0.3894520480107207,0.6145472938073144,25.0,0.14825317267979313,0.0631296171927468,0.23397915097213823
AK,ussenate,AK,0.4333525425841747,0.3185484312629932,0.548370808289641,12.5,0.49661610501116144,0.036388944124080336,0.22589169620461957
FL,president,,0.48345899394099995,0.36937188127773374,0.5967885105547006,25.0,0.14825317267979313,0.05977165883143049,0.22153345145234368
NC,president,,0.4936168520383419,0.378878430734144,0.6067871679233827,25.0,0.14825317267979313,0.055070517125587644,0.20410947212463126
MN,president,,0.5364922826769851,0.42407765857353874,0.6512756410357448,25.0,0.14825317267979313,0.053727333781061114,0.19913119231671342
GA,ussenate,GA-S,0.5593746526409862,0.4438605682663115,0.6752474410445758,12.5,0.49661610501116144,0.03201431696162259,0.19873531742592213
VA,president,,0.5508746754221939,0.4383729697846058,0.6637377084545039,25.0,0.14825317267979313,0.048354600402955,0.17921807308504206
VA,ussenate,VA,0.5597416020359218,0.4448090319741891,0.673935022830291,12.5,0.49661610501116144,0.024855836150328096,0.1542976066971445
OH,president,,0.4590756793132312,0.3461565272205742,0.5723796997377046,25.0,0.14825317267979313,0.03895231699126931,0.14437011442961722
TX,president,,0.47213235671941445,0.35810168805294446,0.5872472675912239,25.0,0.14825317267979313,0.03626595030221625,0.13441355481378153
NY,president,,0.5722549904148797,0.45882331446259306,0.6862132089404932,25.0,0.14825317267979313,0.035594358629952985,0.13192441490982262
MI,statehouse,,0.4716609090909091,0.35454545454545455,0.5818181818181818,0.3819112922467705,0.2998911585306488,1.0,0.1145318198878212
PA,statehouse,,0.4454172413793104,0.33004926108374383,0.5615763546798029,0.48931596902153773,0.21878373128132822,1.0,0.10705437347807084
NH,president,,0.5381751658691121,0.4232161038800494,0.6533207132476837,25.0,0.14825317267979313,0.02887844190732035,0.10703301587023345
