state,office,district,potential_power,pr_close,pr_tip,realized_power
NC,ussenate,NC,12.5,0.46380139134062054,0.0845461,0.4901574851552905
IA,ussenate,IA,12.5,0.46380139134062054,0.0825461,0.478562450371775
PA,president,,25.0,0.06725022765851703,0.27115,0.45587248074017234
AZ,ussenate,AZ,12.5,0.46380139134062054,0.0778484,0.45132745292051457
GA,ussenate,GA,12.5,0.46380139134062054,0.0753644,0.4369264197193883
ME,ussenate,ME,12.5,0.46380139134062054,0.0672886,0.390106828767031
SC,ussenate,SC,12.5,0.46380139134062054,0.0587561,0.34063951162185796
TX,statehouse,,1.0966038340478594,0.3056429252503624,1.0,0.3351692036791507
CO,ussenate,CO,12.5,0.46380139134062054,0.0550009,0.3188686743123292
AK,ussenate,AK,12.5,0.46380139134062054,0.0549543,0.3185985100018733
GA,ussenate,GA-S,12.5,0.46380139134062054,0.0532712,0.3088407084798058
KS,ussenate,KS,12.5,0.46380139134062054,0.0521361,0.3022599464884216
MT,ussenate,MT,12.5,0.46380139134062054,0.0489388,0.2837235441317545
MI,president,,25.0,0.06725022765851703,0.159475,0.2681182513960501
MI,ussenate,MI,12.5,0.46380139134062054,0.0423343,0.2454338405178904
FL,president,,25.0,0.06725022765851703,0.136175,0.22894499378496388
NC,governor,,0.7934484701799508,0.27485376175801546,1.0,0.21808229679010202
MS,ussenate,MS,12.5,0.46380139134062054,0.0360447,0.20896977513069082
MN,ussenate,MN,12.5,0.46380139134062054,0.0335763,0.194659183200876
NM,ussenate,NM,12.5,0.46380139134062054,0.0310009,0.17972825691014305
WI,president,,25.0,0.06725022765851703,0.095,0.15971929068897794
PA,statehouse,,0.48931596902153773,0.28174235172493634,1.0,0.13786103184869414
NC,statehouse,,0.3967242350899754,0.3132523793069636,1.0,0.12427481057066997
MI,statehouse,,0.3819112922467705,0.32354730709659485,1.0,0.12356637015622324
TX,ussenate,TX,12.5,0.46380139134062054,0.0205753,0.11928565959063338
NC,statesenate,,0.3967242350899754,0.28221212076921454,1.0,0.1119603877452864
VA,ussenate,VA,12.5,0.46380139134062054,0.0189699,0.10997832516990548
PA,statesenate,,0.48931596902153773,0.19883427142161425,1.0,0.09729278419535863
MO,governor,,0.4681434766517746,0.19403186326987842,1.0,0.09083475105238265
AZ,statehouse,,0.2740051902598594,0.316646680162889,1.0,0.08676283384318526
TN,ussenate,TN,12.5,0.46380139134062054,0.0146511,0.08494000705838207
MN,president,,25.0,0.06725022765851703,0.049975,0.0840207531808597
AZ,statesenate,,0.2740051902598594,0.2872903804679827,1.0,0.078719055359957
NC,president,,25.0,0.06725022765851703,0.04675,0.07859870357589178
AL,ussenate,AL,12.5,0.46380139134062054,0.0124995,0.07246606863827608
KY,ussenate,KY,12.5,0.46380139134062054,0.0122877,0.07123815445470179
