draw,dem_ev,natl_pop_vote,AK,AL,AR,AZ,CA,CO,CT,DC,DE,FL,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
1,368,0.5470102897057191,0.4686,0.4275,0.3743,0.5198,0.7004,0.5543,0.6079,0.9507,0.6149,0.5178,0.5008,0.7073,0.495,0.3761,0.5986,0.4332,0.4461,0.3973,0.447,0.6592,0.6505,0.5551,0.5424,0.5501,0.4569,0.4329,0.4535,0.5259,0.3521,0.4078,0.5353,0.5892,0.5882,0.5473,0.6526,0.5053,0.3798,0.5855,0.5221,0.6175,0.4646,0.4116,0.4243,0.4911,0.3999,0.5686,0.6645,0.6102,0.529,0.3552,0.2993
2,323,0.5318121802191869,0.4419,0.3854,0.3761,0.4929,0.651,0.5487,0.5982,0.9528,0.6031,0.5088,0.4969,0.6664,0.4855,0.3729,0.5921,0.4179,0.4285,0.3965,0.4452,0.665,0.6618,0.5397,0.5424,0.5258,0.4453,0.4248,0.439,0.511,0.3496,0.3824,0.5121,0.5873,0.5481,0.5418,0.6534,0.4858,0.3365,0.5832,0.5171,0.6481,0.4573,0.3966,0.414,0.4552,0.3975,0.5294,0.6562,0.6229,0.5303,0.341,0.2972
3,415,0.5677506697194598,0.5164,0.4177,0.4199,0.5613,0.6716,0.6102,0.6346,0.9572,0.6407,0.5484,0.5098,0.7199,0.5054,0.4094,0.6159,0.4594,0.4775,0.4175,0.4319,0.6891,0.686,0.5952,0.5683,0.581,0.4668,0.4221,0.4784,0.5174,0.4283,0.4408,0.5909,0.6259,0.597,0.558,0.6845,0.5383,0.3976,0.6345,0.5734,0.6637,0.4618,0.4283,0.4198,0.5137,0.4741,0.5952,0.6907,0.6681,0.5724,0.3645,0.3305
4,421,0.5666312377743516,0.4813,0.4585,0.4188,0.5107,0.698,0.5939,0.6138,0.9539,0.613,0.5283,0.5562,0.736,0.5288,0.3894,0.5984,0.4475,0.4856,0.458,0.4699,0.6703,0.6901,0.5825,0.5657,0.5784,0.4964,0.4536,0.4811,0.5522,0.4279,0.4303,0.5629,0.589,0.5817,0.5397,0.6461,0.5211,0.397,0.6096,0.5532,0.6337,0.5164,0.4405,0.4477,0.5202,0.4362,0.6089,0.6921,0.6316,0.5628,0.3915,0.3272
5,377,0.5407791647766087,0.4572,0.4125,0.387,0.5309,0.6727,0.557,0.6201,0.9578,0.6058,0.4981,0.5194,0.6833,0.4943,0.3707,0.5953,0.4236,0.4378,0.3817,0.459,0.6633,0.6367,0.5534,0.5415,0.5396,0.4624,0.467,0.4304,0.5076,0.3547,0.3743,0.5145,0.5911,0.5663,0.5468,0.6377,0.5048,0.3535,0.5736,0.5187,0.613,0.449,0.3849,0.4271,0.5011,0.425,0.5528,0.6706,0.6214,0.5336,0.3298,0.2969
6,406,0.5563022341709941,0.4936,0.4178,0.3941,0.541,0.6815,0.5494,0.6555,0.9555,0.6211,0.5634,0.5154,0.7043,0.4998,0.3575,0.5789,0.4336,0.4303,0.3961,0.4387,0.6522,0.6643,0.5869,0.5584,0.542,0.4624,0.4779,0.4561,0.5323,0.3581,0.4027,0.5638,0.6254,0.5981,0.5699,0.6572,0.5137,0.381,0.5778,0.5496,0.6431,0.4714,0.408,0.4187,0.5214,0.3983,0.5491,0.7103,0.6461,0.5574,0.3707,0.3024
7,415,0.5608104843798689,0.504,0.4366,0.4176,0.5372,0.6896,0.5684,0.6198,0.9552,0.6262,0.5085,0.552,0.7134,0.5185,0.3999,0.581,0.4832,0.4674,0.4238,0.4777,0.6839,0.6874,0.5543,0.5635,0.5557,0.4783,0.4827,0.4809,0.5538,0.4191,0.4228,0.5427,0.6178,0.5678,0.5298,0.6581,0.5126,0.4033,0.589,0.537,0.6146,0.4988,0.428,0.453,0.5114,0.441,0.5609,0.6776,0.6498,0.5609,0.3715,0.3357
8,359,0.5449907918424252,0.4347,0.381,0.3537,0.5197,0.6902,0.563,0.6172,0.9663,0.6068,0.4922,0.5137,0.7364,0.4772,0.3564,0.5945,0.4287,0.4377,0.3832,0.4306,0.6873,0.6854,0.5577,0.53,0.5447,0.4573,0.4395,0.4344,0.5007,0.3385,0.419,0.5269,0.6141,0.6121,0.5344,0.66,0.4933,0.3461,0.5961,0.5176,0.6316,0.4572,0.3987,0.3905,0.5165,0.4093,0.5848,0.6938,0.6224,0.532,0.34,0.269
9,396,0.5585634158184171,0.4852,0.4137,0.401,0.5278,0.6905,0.5574,0.6374,0.9607,0.6105,0.5286,0.4948,0.6944,0.5085,0.4008,0.5868,0.4548,0.452,0.4229,0.4185,0.7021,0.6517,0.5807,0.5587,0.5687,0.4731,0.4282,0.4681,0.5213,0.3847,0.4396,0.578,0.6209,0.558,0.5546,0.682,0.5237,0.3892,0.5999,0.5495,0.654,0.4597,0.4263,0.4216,0.5254,0.4379,0.5687,0.6887,0.6371,0.5425,0.3537,0.3067
10,285,0.5280826721360691,0.475,0.3872,0.3708,0.5015,0.6517,0.561,0.5858,0.9586,0.5713,0.4913,0.4795,0.657,0.4768,0.3837,0.565,0.4209,0.4519,0.3986,0.4117,0.6746,0.657,0.5694,0.5238,0.5375,0.4731,0.4217,0.4544,0.5015,0.3533,0.4262,0.5231,0.5893,0.5467,0.5071,0.6365,0.4789,0.3706,0.5936,0.4983,0.5839,0.4408,0.4184,0.4156,0.4688,0.4017,0.5362,0.6573,0.6066,0.5211,0.3547,0.335
